,Title,Topic Label,Accetpance,Difficulty,Frequency
744,744. Find Smallest Letter Greater Than Target,"['Array', 'Binary Search']",45.6%,Easy,26.3587%;
745,745. Prefix and Suffix Search,"['Hash Table', 'String', 'Design', '1+']",41.3%,Hard,38.3795%;
746,746. Min Cost Climbing Stairs,"['Array', 'Dynamic Programming']",63.1%,Easy,44.0078%;
747,747. Largest Number At Least Twice of Others,"['Array', 'Sorting']",47.0%,Easy,10.1757%;
748,748. Shortest Completing Word,"['Array', 'Hash Table', 'String']",59.2%,Easy,5.05149%;
749,749. Contain Virus,"['Array', 'Depth-First Search', '3+']",51.1%,Hard,40.9451%;
750,750. Number Of Corner Rectangles,"['Array', 'Math', '2+']",67.5%,Medium,30.1546%;
751,751. IP to CIDR,"['String', 'Bit Manipulation']",54.5%,Medium,64.7792%;
752,752. Open the Lock,"['Array', 'Hash Table', 'String', '1+']",55.6%,Medium,46.3095%;
753,753. Cracking the Safe,"['Depth-First Search', 'Graph', '1+']",55.8%,Hard,53.608%;
754,754. Reach a Number,"['Math', 'Binary Search']",42.7%,Medium,45.6348%;
755,755. Pour Water,"['Array', 'Simulation']",46.4%,Medium,76.0229%;
756,756. Pyramid Transition Matrix,"['Bit Manipulation', '2+']",52.7%,Medium,15.5482%;
757,757. Set Intersection Size At Least Two,"['Array', 'Greedy', 'Sorting']",43.8%,Hard,68.3654%;
758,758. Bold Words in String,"['Array', 'Hash Table', 'String', '2+']",50.8%,Medium,0%;
759,759. Employee Free Time,"['Array', 'Sorting', 'Heap (Priority Queue)']",71.8%,Hard,58.5018%;
760,760. Find Anagram Mappings,"['Array', 'Hash Table']",82.9%,Easy,0%;
761,761. Special Binary String,"['String', 'Recursion']",60.4%,Hard,40.9451%;
762,762. Prime Number of Set Bits in Binary Representation,"['Math', 'Bit Manipulation']",68.0%,Easy,15.1876%;
763,763. Partition Labels,"['Hash Table', 'Two Pointers', 'String', '1+']",79.8%,Medium,46.8998%;
764,764. Largest Plus Sign,"['Array', 'Dynamic Programming']",48.3%,Medium,24.1579%;
765,765. Couples Holding Hands,"['Greedy', 'Depth-First Search', '3+']",56.8%,Hard,26.561%;
766,766. Toeplitz Matrix,"['Array', 'Matrix']",68.7%,Easy,63.9497%;
767,767. Reorganize String,"['Hash Table', 'String', 'Greedy', '3+']",52.9%,Medium,72.9359%;
768,768. Max Chunks To Make Sorted II,"['Array', 'Stack', 'Greedy', '2+']",52.8%,Hard,67.5831%;
769,769. Max Chunks To Make Sorted,"['Array', 'Stack', 'Greedy', '2+']",58.2%,Medium,65.7562%;
770,770. Basic Calculator IV,"['Hash Table', 'Math', 'String', '2+']",56.0%,Hard,48.4923%;
771,771. Jewels and Stones,"['Hash Table', 'String']",88.2%,Easy,49.0774%;
772,772. Basic Calculator III,"['Math', 'String', 'Stack', '1+']",48.8%,Hard,65.2937%;
773,773. Sliding Puzzle,"['Array', 'Breadth-First Search', 'Matrix']",64.1%,Hard,51.2535%;
774,774. Minimize Max Distance to Gas Station,"['Array', 'Binary Search']",51.7%,Hard,19.1652%;
775,775. Global and Local Inversions,"['Array', 'Math']",43.4%,Medium,27.8646%;
776,776. Split BST,"['Tree', 'Binary Search Tree', '2+']",72.0%,Medium,0%;
777,777. Swap Adjacent in LR String,"['Two Pointers', 'String']",36.8%,Medium,46.9534%;
778,778. Swim in Rising Water,"['Array', 'Binary Search', '5+']",59.9%,Hard,22.8589%;
779,779. K-th Symbol in Grammar,"['Math', 'Bit Manipulation', 'Recursion']",41.2%,Medium,55.1928%;
780,780. Reaching Points,['Math'],32.6%,Hard,90.2189%;
781,781. Rabbits in Forest,"['Array', 'Hash Table', 'Math', '1+']",54.9%,Medium,34.4775%;
782,782. Transform to Chessboard,"['Array', 'Math', 'Bit Manipulation', '1+']",51.7%,Hard,44.5955%;
783,783. Minimum Distance Between BST Nodes,"['Tree', 'Depth-First Search', '3+']",59.3%,Easy,59.8102%;
784,784. Letter Case Permutation,"['String', 'Backtracking', 'Bit Manipulation']",73.8%,Medium,30.7515%;
785,785. Is Graph Bipartite?,"['Depth-First Search', '3+']",53.0%,Medium,46.6796%;
786,786. K-th Smallest Prime Fraction,"['Array', 'Binary Search', 'Sorting', '1+']",51.5%,Medium,10.0509%;
787,787. Cheapest Flights Within K Stops,"['Dynamic Programming', '5+']",37.0%,Medium,63.1552%;
788,788. Rotated Digits,"['Math', 'Dynamic Programming']",56.7%,Medium,23.4795%;
789,789. Escape The Ghosts,"['Array', 'Math']",60.8%,Medium,19.1652%;
790,790. Domino and Tromino Tiling,['Dynamic Programming'],52.9%,Medium,89.7578%;
791,791. Custom Sort String,"['Hash Table', 'String', 'Sorting']",69.2%,Medium,39.8632%;
792,792. Number of Matching Subsequences,"['Hash Table', 'String', 'Trie', '1+']",51.7%,Medium,29.5754%;
793,793. Preimage Size of Factorial Zeroes Function,"['Math', 'Binary Search']",43.2%,Hard,16.3206%;
794,794. Valid Tic-Tac-Toe State,"['Array', 'String']",35.1%,Medium,40.7349%;
795,795. Number of Subarrays with Bounded Maximum,"['Array', 'Two Pointers']",52.8%,Medium,46.1871%;
796,796. Rotate String,"['String', 'String Matching']",55.1%,Easy,55.2485%;
797,797. All Paths From Source to Target,"['Backtracking', 'Depth-First Search', '2+']",82.3%,Medium,70.7629%;
798,798. Smallest Rotation with Highest Score,"['Array', 'Prefix Sum']",50.2%,Hard,35.377%;
799,799. Champagne Tower,['Dynamic Programming'],51.3%,Medium,31.8564%;
800,800. Similar RGB Color,"['Math', 'String', 'Enumeration']",67.0%,Easy,33.8438%;
801,801. Minimum Swaps To Make Sequences Increasing,"['Array', 'Dynamic Programming']",39.4%,Hard,34.3739%;
802,802. Find Eventual Safe States,"['Depth-First Search', '3+']",56.4%,Medium,38.3948%;
803,803. Bricks Falling When Hit,"['Array', 'Union Find', 'Matrix']",34.3%,Hard,0%;
804,804. Unique Morse Code Words,"['Array', 'Hash Table', 'String']",82.6%,Easy,26.1388%;
805,805. Split Array With Same Average,"['Array', 'Math', '3+']",25.7%,Hard,36.7581%;
806,806. Number of Lines To Write String,"['Array', 'String']",66.6%,Easy,4.68533%;
807,807. Max Increase to Keep City Skyline,"['Array', 'Greedy', 'Matrix']",85.9%,Medium,37.2381%;
808,808. Soup Servings,"['Math', 'Dynamic Programming', '1+']",43.4%,Medium,75.402%;
809,809. Expressive Words,"['Array', 'Two Pointers', 'String']",46.2%,Medium,32.7485%;
810,810. Chalkboard XOR Game,"['Array', 'Math', 'Bit Manipulation', '2+']",56.2%,Hard,0%;
811,811. Subdomain Visit Count,"['Array', 'Hash Table', 'String', '1+']",75.5%,Medium,83.3034%;
812,812. Largest Triangle Area,"['Array', 'Math', 'Geometry']",59.9%,Easy,36.0624%;
813,813. Largest Sum of Averages,"['Array', 'Dynamic Programming', '1+']",53.0%,Medium,11.174%;
814,814. Binary Tree Pruning,"['Tree', 'Depth-First Search', 'Binary Tree']",72.4%,Medium,33.0595%;
815,815. Bus Routes,"['Array', 'Hash Table', '1+']",45.6%,Hard,61.8261%;
816,816. Ambiguous Coordinates,"['String', 'Backtracking']",56.3%,Medium,17.1707%;
817,817. Linked List Components,"['Array', 'Hash Table', 'Linked List']",57.7%,Medium,33.0595%;
818,818. Race Car,['Dynamic Programming'],43.3%,Hard,81.9343%;
819,819. Most Common Word,"['Hash Table', 'String', 'Counting']",44.8%,Easy,38.6367%;
820,820. Short Encoding of Words,"['Array', 'Hash Table', 'String', '1+']",60.6%,Medium,0%;
821,821. Shortest Distance to a Character,"['Array', 'Two Pointers', 'String']",71.3%,Easy,22.46%;
822,822. Card Flipping Game,"['Array', 'Hash Table']",45.9%,Medium,0%;
823,823. Binary Trees With Factors,"['Array', 'Hash Table', '1+']",49.7%,Medium,43.5173%;
824,824. Goat Latin,['String'],67.9%,Easy,14.6752%;
825,825. Friends Of Appropriate Ages,"['Array', 'Two Pointers', '2+']",46.3%,Medium,12.0454%;
826,826. Most Profit Assigning Work,"['Array', 'Two Pointers', '3+']",44.8%,Medium,18.1128%;
827,827. Making A Large Island,"['Array', 'Depth-First Search', '3+']",44.9%,Hard,61.368%;
828,828. Count Unique Characters of All Substrings of a Given String,"['Hash Table', 'String', '1+']",51.8%,Hard,9.7897%;
829,829. Consecutive Numbers Sum,"['Math', 'Enumeration']",41.6%,Hard,52.2295%;
830,830. Positions of Large Groups,['String'],51.8%,Easy,10.2445%;
831,831. Masking Personal Information,['String'],47.4%,Medium,18.1128%;
832,832. Flipping an Image,"['Array', 'Two Pointers', 'Matrix', '1+']",80.7%,Easy,45.8163%;
833,833. Find And Replace in String,"['Array', 'String', 'Sorting']",54.0%,Medium,45.1464%;
834,834. Sum of Distances in Tree,"['Dynamic Programming', 'Tree', '2+']",59.3%,Hard,72.9517%;
835,835. Image Overlap,"['Array', 'Matrix']",63.9%,Medium,82.621%;
836,836. Rectangle Overlap,"['Math', 'Geometry']",43.9%,Easy,46.7737%;
837,837. New 21 Game,"['Math', 'Dynamic Programming', '2+']",36.2%,Medium,46.8931%;
838,838. Push Dominoes,"['Two Pointers', 'String', '1+']",57.0%,Medium,77.7207%;
839,839. Similar String Groups,"['Array', 'String', '3+']",48.0%,Hard,51.5342%;
840,840. Magic Squares In Grid,"['Array', 'Math', 'Matrix']",38.6%,Medium,35.1184%;
841,841. Keys and Rooms,"['Depth-First Search', '2+']",71.5%,Medium,64.3279%;
842,842. Split Array into Fibonacci Sequence,"['String', 'Backtracking']",38.4%,Medium,41.8733%;
843,843. Guess the Word,"['Array', 'Math', 'String', '2+']",41.4%,Hard,67.6049%;
844,844. Backspace String Compare,"['Two Pointers', 'String', 'Stack', '1+']",48.1%,Easy,38.3663%;
845,845. Longest Mountain in Array,"['Array', 'Two Pointers', '2+']",40.2%,Medium,62.4763%;
846,846. Hand of Straights,"['Array', 'Hash Table', 'Greedy', '1+']",56.2%,Medium,28.6877%;
847,847. Shortest Path Visiting All Nodes,"['Dynamic Programming', '4+']",61.1%,Hard,48.9241%;
848,848. Shifting Letters,"['Array', 'String']",45.2%,Medium,46.4807%;
849,849. Maximize Distance to Closest Person,['Array'],47.6%,Medium,71.4925%;
850,850. Rectangle Area II,"['Array', 'Segment Tree', '2+']",53.9%,Hard,52.6988%;
851,851. Loud and Rich,"['Array', 'Depth-First Search', '2+']",58.4%,Medium,5.05149%;
852,852. Peak Index in a Mountain Array,"['Array', 'Binary Search']",69.1%,Medium,73.9672%;
853,853. Car Fleet,"['Array', 'Stack', 'Sorting', '1+']",50.3%,Medium,31.686%;
854,854. K-Similar Strings,"['String', 'Breadth-First Search']",40.1%,Hard,31.8564%;
855,855. Exam Room,"['Design', 'Heap (Priority Queue)', '1+']",43.4%,Medium,39.0043%;
856,856. Score of Parentheses,"['String', 'Stack']",64.8%,Medium,41.6767%;
857,857. Minimum Cost to Hire K Workers,"['Array', 'Greedy', 'Sorting', '1+']",52.3%,Hard,41.1838%;
858,858. Mirror Reflection,"['Math', 'Geometry', 'Number Theory']",63.1%,Medium,37.6083%;
859,859. Buddy Strings,"['Hash Table', 'String']",29.2%,Easy,46.4663%;
860,860. Lemonade Change,"['Array', 'Greedy']",52.9%,Easy,32.6993%;
861,861. Score After Flipping Matrix,"['Array', 'Greedy', 'Bit Manipulation', '1+']",74.9%,Medium,25.1229%;
862,862. Shortest Subarray with Sum at Least K,"['Array', 'Binary Search', 'Queue', '4+']",26.1%,Hard,51.7547%;
863,863. All Nodes Distance K in Binary Tree,"['Tree', 'Depth-First Search', '2+']",62.3%,Medium,59.9869%;
864,864. Shortest Path to Get All Keys,"['Array', 'Bit Manipulation', '2+']",45.5%,Hard,63.8611%;
865,865. Smallest Subtree with all the Deepest Nodes,"['Hash Table', 'Tree', '3+']",68.9%,Medium,7.79914%;
866,866. Prime Palindrome,['Math'],25.7%,Medium,34.3338%;
867,867. Transpose Matrix,"['Array', 'Matrix', 'Simulation']",64.1%,Easy,56.7888%;
868,868. Binary Gap,['Bit Manipulation'],62.2%,Easy,24.0478%;
869,869. Reordered Power of 2,"['Math', 'Sorting', 'Counting', '1+']",63.6%,Medium,39.441%;
870,870. Advantage Shuffle,"['Array', 'Two Pointers', 'Greedy', '1+']",51.9%,Medium,29.8079%;
871,871. Minimum Number of Refueling Stops,"['Array', 'Dynamic Programming', '2+']",39.8%,Hard,53.639%;
872,872. Leaf-Similar Trees,"['Tree', 'Depth-First Search', 'Binary Tree']",67.6%,Easy,57.8823%;
873,873. Length of Longest Fibonacci Subsequence,"['Array', 'Hash Table', '1+']",48.3%,Medium,42.4619%;
874,874. Walking Robot Simulation,"['Array', 'Simulation']",38.8%,Medium,26.1833%;
875,875. Koko Eating Bananas,"['Array', 'Binary Search']",52.3%,Medium,66.2636%;
876,876. Middle of the Linked List,"['Linked List', 'Two Pointers']",75.5%,Easy,68.8679%;
877,877. Stone Game,"['Array', 'Math', '2+']",69.7%,Medium,47.6271%;
878,878. Nth Magical Number,"['Math', 'Binary Search']",35.4%,Hard,43.5821%;
879,879. Profitable Schemes,"['Array', 'Dynamic Programming']",40.6%,Hard,14.8423%;
880,880. Decoded String at Index,"['String', 'Stack']",28.3%,Medium,12.0454%;
881,881. Boats to Save People,"['Array', 'Two Pointers', 'Greedy', '1+']",53.1%,Medium,46.1871%;
882,882. Reachable Nodes In Subdivided Graph,"['Graph', 'Heap (Priority Queue)', '1+']",50.2%,Hard,21.7064%;
883,883. Projection Area of 3D Shapes,"['Array', 'Math', 'Geometry', '1+']",71.1%,Easy,18.9207%;
884,884. Uncommon Words from Two Sentences,"['Hash Table', 'String']",66.3%,Easy,13.3134%;
885,885. Spiral Matrix III,"['Array', 'Matrix', 'Simulation']",73.3%,Medium,33.8438%;
886,886. Possible Bipartition,"['Depth-First Search', '3+']",50.0%,Medium,77.6661%;
887,887. Super Egg Drop,"['Math', 'Binary Search', '1+']",27.2%,Hard,48.4923%;
888,888. Fair Candy Swap,"['Array', 'Hash Table', '2+']",60.7%,Easy,54.5896%;
889,889. Construct Binary Tree from Preorder and Postorder Traversal,"['Array', 'Hash Table', '3+']",71.0%,Medium,42.4834%;
890,890. Find and Replace Pattern,"['Array', 'Hash Table', 'String']",77.6%,Medium,38.647%;
891,891. Sum of Subsequence Widths,"['Array', 'Math', 'Sorting']",36.6%,Hard,33.3729%;
892,892. Surface Area of 3D Shapes,"['Array', 'Math', 'Geometry', '1+']",64.0%,Easy,18.4503%;
893,893. Groups of Special-Equivalent Strings,"['Array', 'Hash Table', 'String']",71.1%,Medium,35.1184%;
894,894. All Possible Full Binary Trees,"['Dynamic Programming', 'Tree', '3+']",80.0%,Medium,55.0253%;
895,895. Maximum Frequency Stack,"['Hash Table', 'Stack', 'Design', '1+']",66.6%,Hard,56.5783%;
896,896. Monotonic Array,['Array'],58.4%,Easy,33.2509%;
897,897. Increasing Order Search Tree,"['Stack', 'Tree', 'Depth-First Search', '2+']",78.5%,Easy,23.5068%;
898,898. Bitwise ORs of Subarrays,"['Array', 'Dynamic Programming', '1+']",37.2%,Medium,27.0643%;
899,899. Orderly Queue,"['Math', 'String', 'Sorting']",66.4%,Hard,92.4503%;
900,900. RLE Iterator,"['Array', 'Design', 'Counting', '1+']",59.4%,Medium,42.5608%;
901,901. Online Stock Span,"['Stack', 'Design', 'Monotonic Stack', '1+']",65.2%,Medium,72.0545%;
902,902. Numbers At Most N Given Digit Set,"['Array', 'Math', 'String', '2+']",41.4%,Hard,38.647%;
903,903. Valid Permutations for DI Sequence,['Dynamic Programming'],57.8%,Hard,0%;
904,904. Fruit Into Baskets,"['Array', 'Hash Table', 'Sliding Window']",43.7%,Medium,82.002%;
905,905. Sort Array By Parity,"['Array', 'Two Pointers', 'Sorting']",75.6%,Easy,32.3483%;
906,906. Super Palindromes,"['Math', 'Enumeration']",38.8%,Hard,28.8262%;
907,907. Sum of Subarray Minimums,"['Array', 'Dynamic Programming', '2+']",35.8%,Medium,82.4224%;
908,908. Smallest Range I,"['Array', 'Math']",68.2%,Easy,36.5543%;
909,909. Snakes and Ladders,"['Array', 'Breadth-First Search', 'Matrix']",45.1%,Medium,82.5796%;
910,910. Smallest Range II,"['Array', 'Math', 'Greedy', '1+']",35.1%,Medium,55.4754%;
911,911. Online Election,"['Array', 'Hash Table', '2+']",52.2%,Medium,9.7897%;
912,912. Sort an Array,"['Array', 'Divide and Conquer', '6+']",59.7%,Medium,74.6944%;
913,913. Cat and Mouse,"['Math', 'Dynamic Programming', '4+']",34.9%,Hard,28.8262%;
914,914. X of a Kind in a Deck of Cards,"['Array', 'Hash Table', 'Math', '2+']",31.3%,Easy,23.1026%;
915,915. Partition Array into Disjoint Intervals,['Array'],48.5%,Medium,45.1048%;
916,916. Word Subsets,"['Array', 'Hash Table', 'String']",53.8%,Medium,16.7825%;
917,917. Reverse Only Letters,"['Two Pointers', 'String']",61.9%,Easy,27.3782%;
918,918. Maximum Sum Circular Subarray,"['Array', 'Divide and Conquer', '3+']",42.9%,Medium,77.004%;
919,919. Complete Binary Tree Inserter,"['Tree', 'Breadth-First Search', '2+']",65.1%,Medium,19.4164%;
920,920. Number of Music Playlists,"['Math', 'Dynamic Programming', '1+']",50.8%,Hard,37.6083%;
921,921. Minimum Add to Make Parentheses Valid,"['String', 'Stack', 'Greedy']",75.8%,Medium,39.3763%;
922,922. Sort Array By Parity II,"['Array', 'Two Pointers', 'Sorting']",70.7%,Easy,27.6365%;
923,923. 3Sum With Multiplicity,"['Array', 'Hash Table', 'Two Pointers', '2+']",45.3%,Medium,26.7549%;
924,924. Minimize Malware Spread,"['Array', 'Depth-First Search', '3+']",42.1%,Hard,27.3577%;
925,925. Long Pressed Name,"['Two Pointers', 'String']",33.2%,Easy,27.1612%;
926,926. Flip String to Monotone Increasing,"['String', 'Dynamic Programming']",61.5%,Medium,85.7727%;
927,927. Three Equal Parts,"['Array', 'Math']",39.6%,Hard,43.0099%;
928,928. Minimize Malware Spread II,"['Array', 'Depth-First Search', '3+']",42.7%,Hard,23.2741%;
929,929. Unique Email Addresses,"['Array', 'Hash Table', 'String']",67.1%,Easy,62.0448%;
930,930. Binary Subarrays With Sum,"['Array', 'Hash Table', '2+']",52.0%,Medium,36.222%;
931,931. Minimum Falling Path Sum,"['Array', 'Dynamic Programming', 'Matrix']",69.1%,Medium,66.3889%;
932,932. Beautiful Array,"['Array', 'Math', 'Divide and Conquer']",65.2%,Medium,62.47%;
933,933. Number of Recent Calls,"['Design', 'Queue', 'Data Stream']",73.2%,Easy,34.6944%;
934,934. Shortest Bridge,"['Array', 'Depth-First Search', '2+']",54.3%,Medium,48.767%;
935,935. Knight Dialer,['Dynamic Programming'],50.4%,Medium,65.7562%;
936,936. Stamping The Sequence,"['String', 'Stack', 'Greedy', '1+']",63.0%,Hard,83.3791%;
937,937. Reorder Data in Log Files,"['Array', 'String', 'Sorting']",56.4%,Medium,61.4224%;
938,938. Range Sum of BST,"['Tree', 'Depth-First Search', '2+']",85.9%,Easy,68.531%;
939,939. Minimum Area Rectangle,"['Array', 'Hash Table', 'Math', '2+']",52.9%,Medium,41.8981%;
940,940. Distinct Subsequences II,"['String', 'Dynamic Programming']",44.0%,Hard,41.9362%;
941,941. Valid Mountain Array,['Array'],33.4%,Easy,28.1002%;
942,942. DI String Match,"['Array', 'Two Pointers', 'String', '1+']",77.2%,Easy,26.561%;
943,943. Find the Shortest Superstring,"['Array', 'String', '3+']",44.5%,Hard,61.9488%;
944,944. Delete Columns to Make Sorted,"['Array', 'String']",74.8%,Easy,74.3768%;
945,945. Minimum Increment to Make Array Unique,"['Array', 'Greedy', 'Sorting', '1+']",51.0%,Medium,63.6239%;
946,946. Validate Stack Sequences,"['Array', 'Stack', 'Simulation']",67.7%,Medium,51.9667%;
947,947. Most Stones Removed with Same Row or Column,"['Depth-First Search', 'Union Find', 'Graph']",58.9%,Medium,77.2364%;
948,948. Bag of Tokens,"['Array', 'Two Pointers', 'Greedy', '1+']",52.1%,Medium,44.0562%;
949,949. Largest Time for Given Digits,"['String', 'Enumeration']",35.2%,Medium,36.9383%;
950,950. Reveal Cards In Increasing Order,"['Array', 'Queue', 'Sorting', '1+']",77.7%,Medium,34.4775%;
951,951. Flip Equivalent Binary Trees,"['Tree', 'Depth-First Search', 'Binary Tree']",66.8%,Medium,28.8458%;
952,952. Largest Component Size by Common Factor,"['Array', 'Math', 'Union Find']",40.1%,Hard,21.9414%;
953,953. Verifying an Alien Dictionary,"['Array', 'Hash Table', 'String']",54.5%,Easy,66.7607%;
954,954. Array of Doubled Pairs,"['Array', 'Hash Table', 'Greedy', '1+']",39.1%,Medium,10.7775%;
955,955. Delete Columns to Make Sorted II,"['Array', 'String', 'Greedy']",34.7%,Medium,49.0476%;
956,956. Tallest Billboard,"['Array', 'Dynamic Programming']",39.9%,Hard,20.3521%;
957,957. Prison Cells After N Days,"['Array', 'Hash Table', 'Math', '1+']",39.1%,Medium,39.5889%;
958,958. Check Completeness of a Binary Tree,"['Tree', 'Breadth-First Search', '1+']",53.9%,Medium,43.7786%;
959,959. Regions Cut By Slashes,"['Depth-First Search', '3+']",69.2%,Medium,56.8122%;
960,960. Delete Columns to Make Sorted III,"['Array', 'String', 'Dynamic Programming']",57.2%,Hard,40.9451%;
961,961. N-Repeated Element in Size 2N Array,"['Array', 'Hash Table']",76.0%,Easy,10.7775%;
962,962. Maximum Width Ramp,"['Array', 'Stack', 'Monotonic Stack']",49.0%,Medium,44.1806%;
963,963. Minimum Area Rectangle II,"['Array', 'Math', 'Geometry']",54.7%,Medium,23.2741%;
964,964. Least Operators to Express Number,"['Math', 'Dynamic Programming']",47.9%,Hard,0%;
965,965. Univalued Binary Tree,"['Tree', 'Depth-First Search', '2+']",69.6%,Easy,5.81331%;
966,966. Vowel Spellchecker,"['Array', 'Hash Table', 'String']",51.4%,Medium,0%;
967,967. Numbers With Same Consecutive Differences,"['Backtracking', 'Breadth-First Search']",57.4%,Medium,59.6047%;
968,968. Binary Tree Cameras,"['Dynamic Programming', 'Tree', '2+']",46.7%,Hard,53.1592%;
969,969. Pancake Sorting,"['Array', 'Two Pointers', 'Greedy', '1+']",70.1%,Medium,49.6272%;
970,970. Powerful Integers,"['Hash Table', 'Math']",43.6%,Medium,31.6547%;
971,971. Flip Binary Tree To Match Preorder Traversal,"['Tree', 'Depth-First Search', 'Binary Tree']",50.1%,Medium,19.1652%;
972,972. Equal Rational Numbers,"['Math', 'String']",43.4%,Hard,0%;
973,973. K Closest Points to Origin,"['Array', 'Math', '5+']",65.7%,Medium,49.8727%;
974,974. Subarray Sums Divisible by K,"['Array', 'Hash Table', 'Prefix Sum']",54.4%,Medium,91.1824%;
975,975. Odd Even Jump,"['Array', 'Dynamic Programming', '3+']",39.0%,Hard,42.2843%;
976,976. Largest Perimeter Triangle,"['Array', 'Math', 'Greedy', '1+']",54.6%,Easy,68.5088%;
977,977. Squares of a Sorted Array,"['Array', 'Two Pointers', 'Sorting']",71.9%,Easy,55.3737%;
978,978. Longest Turbulent Subarray,"['Array', 'Dynamic Programming', '1+']",47.2%,Medium,35.6214%;
979,979. Distribute Coins in Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",72.2%,Medium,52.6988%;
980,980. Unique Paths III,"['Array', 'Backtracking', '2+']",81.9%,Hard,53.1526%;
981,981. Time Based Key-Value Store,"['Hash Table', 'String', '2+']",52.4%,Medium,69.4753%;
982,982. Triples with Bitwise AND Equal To Zero,"['Array', 'Hash Table', 'Bit Manipulation']",57.6%,Hard,0%;
983,983. Minimum Cost For Tickets,"['Array', 'Dynamic Programming']",64.3%,Medium,46.8306%;
984,984. String Without AAA or BBB,"['String', 'Greedy']",43.1%,Medium,19.4164%;
985,985. Sum of Even Numbers After Queries,"['Array', 'Simulation']",68.2%,Medium,76.3489%;
986,986. Interval List Intersections,"['Array', 'Two Pointers']",71.3%,Medium,56.2749%;
987,987. Vertical Order Traversal of a Binary Tree,"['Hash Table', 'Tree', '3+']",45.0%,Hard,64.0794%;
988,988. Smallest String Starting From Leaf,"['String', 'Tree', 'Depth-First Search', '1+']",50.0%,Medium,2.16147%;
989,989. Add to Array-Form of Integer,"['Array', 'Math']",47.1%,Easy,49.6004%;
990,990. Satisfiability of Equality Equations,"['Array', 'String', 'Union Find', '1+']",50.5%,Medium,69.693%;
991,991. Broken Calculator,"['Math', 'Greedy']",54.1%,Medium,35.9111%;
992,992. Subarrays with K Different Integers,"['Array', 'Hash Table', '2+']",54.7%,Hard,65.6442%;
993,993. Cousins in Binary Tree,"['Tree', 'Depth-First Search', '2+']",54.6%,Easy,32.4678%;
994,994. Rotting Oranges,"['Array', 'Breadth-First Search', 'Matrix']",52.9%,Medium,72.3574%;
995,995. Minimum Number of K Consecutive Bit Flips,"['Array', 'Bit Manipulation', 'Queue', '2+']",51.2%,Hard,50.0961%;
996,996. Number of Squareful Arrays,"['Array', 'Math', '4+']",49.2%,Hard,22.3734%;
997,997. Find the Town Judge,"['Array', 'Hash Table', 'Graph']",49.6%,Easy,62.6365%;
998,998. Maximum Binary Tree II,"['Tree', 'Binary Tree']",67.2%,Medium,0%;
999,999. Available Captures for Rook,"['Array', 'Matrix', 'Simulation']",68.1%,Easy,20.6735%;
1000,1000. Minimum Cost to Merge Stones,"['Array', 'Dynamic Programming']",42.4%,Hard,37.667%;
1001,1001. Grid Illumination,"['Array', 'Hash Table']",36.2%,Hard,14.194%;
1002,1002. Find Common Characters,"['Array', 'Hash Table', 'String']",68.4%,Easy,66.4573%;
1003,1003. Check If Word Is Valid After Substitutions,"['String', 'Stack']",58.2%,Medium,21.7064%;
1004,1004. Max Consecutive Ones III,"['Array', 'Binary Search', '2+']",63.2%,Medium,64.6194%;
1005,1005. Maximize Sum Of Array After K Negations,"['Array', 'Greedy', 'Sorting']",50.9%,Easy,27.3577%;
1006,1006. Clumsy Factorial,"['Math', 'Stack', 'Simulation']",55.4%,Medium,34.3739%;
1007,1007. Minimum Domino Rotations For Equal Row,"['Array', 'Greedy']",52.3%,Medium,39.441%;
1008,1008. Construct Binary Search Tree from Preorder Traversal,"['Array', 'Stack', 'Tree', '3+']",81.1%,Medium,50.0961%;
1009,1009. Complement of Base 10 Integer,['Bit Manipulation'],61.6%,Easy,75.4792%;
1010,1010. Pairs of Songs With Total Durations Divisible by 60,"['Array', 'Hash Table', 'Counting']",52.8%,Medium,95.7898%;
1011,1011. Capacity To Ship Packages Within D Days,"['Array', 'Binary Search']",67.7%,Medium,79.8361%;
1012,1012. Numbers With Repeated Digits,"['Math', 'Dynamic Programming']",39.8%,Hard,73.1793%;
1013,1013. Partition Array Into Three Parts With Equal Sum,"['Array', 'Greedy']",42.8%,Easy,22.2025%;
1014,1014. Best Sightseeing Pair,"['Array', 'Dynamic Programming']",59.4%,Medium,20.4936%;
1015,1015. Smallest Integer Divisible by K,"['Hash Table', 'Math']",46.9%,Medium,26.561%;
1016,1016. Binary String With Substrings Representing 1 To N,['String'],57.4%,Medium,23.8549%;
1017,1017. Convert to Base -2,['Math'],60.8%,Medium,10.4038%;
1018,1018. Binary Prefix Divisible By 5,['Array'],46.9%,Easy,13.1611%;
1019,1019. Next Greater Node In Linked List,"['Array', 'Linked List', 'Stack', '1+']",59.9%,Medium,32.6906%;
1020,1020. Number of Enclaves,"['Array', 'Depth-First Search', '3+']",65.5%,Medium,26.1374%;
1021,1021. Remove Outermost Parentheses,"['String', 'Stack']",80.6%,Easy,25.3592%;
1022,1022. Sum of Root To Leaf Binary Numbers,"['Tree', 'Depth-First Search', 'Binary Tree']",73.6%,Easy,22.5473%;
1023,1023. Camelcase Matching,"['Two Pointers', 'String', 'Trie', '1+']",60.5%,Medium,28.7263%;
1024,1024. Video Stitching,"['Array', 'Dynamic Programming', 'Greedy']",50.5%,Medium,37.7722%;
